,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
21 years and over,"3,666,945","±2,388",73.4%,±0.1,"525,539",±968,71.4%,±0.1,"5,171,978","±2,940",73.1%,±0.1,"2,175,436","±2,016",72.4%,±0.1,"28,890,148","±6,704",73.2%,±0.1,"4,237,142","±2,443",74.0%,±0.1,"2,705,628","±1,990",75.0%,±0.1,"734,748","±1,056",74.8%,±0.1,"527,213",±809,77.2%,±0.1,"16,343,644","±4,499",76.6%,±0.1,"7,638,305","±4,576",71.9%,±0.1,"1,095,872",±908,75.4%,±0.1,"1,279,063","±1,656",70.6%,±0.1,"9,431,413","±3,631",73.6%,±0.1,"4,868,669","±2,892",72.1%,±0.1,"2,294,157","±1,831",72.2%,±0.1,"2,088,839","±1,888",71.2%,±0.1,"3,286,659","±2,408",73.1%,±0.1,"3,370,570","±2,510",72.4%,±0.1,"1,054,232",±959,77.7%,±0.1,"4,540,884","±2,239",73.9%,±0.1,"5,288,828","±2,343",75.6%,±0.1,"7,461,419","±2,640",74.2%,±0.1,"4,129,385","±2,145",72.8%,±0.1,"2,128,379","±2,398",71.7%,±0.1,"4,504,629","±2,707",73.3%,±0.1,"803,782","±1,190",74.6%,±0.1,"1,383,131","±1,473",70.9%,±0.1,"2,259,599","±1,594",73.9%,±0.1,"1,054,041",±972,76.8%,±0.1,"6,860,646","±2,535",74.3%,±0.1,"1,538,573","±1,647",72.9%,±0.1,"15,125,983","±3,678",75.2%,±0.1,"7,624,346","±3,873",73.5%,±0.1,"553,413",±942,71.6%,±0.1,"8,664,868","±2,970",73.6%,±0.1,"2,818,973","±2,157",71.4%,±0.1,"3,179,562","±2,020",75.6%,±0.1,"9,746,827","±3,193",75.1%,±0.1,"824,698","±1,145",75.5%,±0.1,"3,759,873","±2,427",74.0%,±0.1,"626,786","±1,021",71.1%,±0.1,"5,058,420","±3,016",73.7%,±0.1,"20,202,923","±6,089",70.0%,±0.1,"2,137,630","±1,940",66.2%,±0.1,"490,048",±913,76.4%,±0.1,"6,332,302","±3,282",73.8%,±0.1,"5,663,680","±2,504",74.4%,±0.1,"1,364,916","±1,437",75.8%,±0.1,"4,339,111","±2,009",73.9%,±0.1,"419,406",±870,72.7%,±0.2,"2,577,086","±1,837",77.8%,±0.1
62 years and over,"1,042,368","±3,414",20.9%,±0.1,"116,581","±1,445",15.8%,±0.2,"1,495,201","±3,262",21.1%,±0.1,"614,919","±2,185",20.5%,±0.1,"6,993,526","±7,182",17.7%,±0.1,"1,019,076","±2,866",17.8%,±0.1,"765,033","±2,919",21.2%,±0.1,"228,241","±1,663",23.2%,±0.2,"102,671","±1,101",15.0%,±0.2,"5,171,900","±7,770",24.2%,±0.1,"1,838,668","±5,193",17.3%,±0.1,"324,039","±1,291",22.3%,±0.1,"352,908","±1,924",19.5%,±0.1,"2,479,935","±4,279",19.3%,±0.1,"1,308,002","±3,615",19.4%,±0.1,"662,164","±2,225",20.8%,±0.1,"575,027","±2,167",19.6%,±0.1,"906,249","±2,853",20.2%,±0.1,"895,121","±3,214",19.2%,±0.1,"343,187","±1,560",25.3%,±0.1,"1,182,693","±3,449",19.2%,±0.1,"1,430,418","±3,671",20.5%,±0.1,"2,147,179","±4,184",21.3%,±0.1,"1,118,225","±2,522",19.7%,±0.1,"586,058","±2,539",19.8%,±0.1,"1,276,025","±3,602",20.8%,±0.1,"248,576","±1,201",23.1%,±0.1,"377,129","±1,654",19.3%,±0.1,"591,398","±2,057",19.3%,±0.1,"309,811","±1,615",22.6%,±0.1,"1,840,980","±4,288",19.9%,±0.1,"450,474","±2,325",21.4%,±0.1,"4,082,609","±5,383",20.3%,±0.1,"2,071,321","±4,842",20.0%,±0.1,"145,240","±1,129",18.8%,±0.1,"2,466,324","±4,917",21.0%,±0.1,"759,163","±2,090",19.2%,±0.1,"908,316","±2,754",21.6%,±0.1,"2,899,832","±4,799",22.4%,±0.1,"232,863","±1,822",21.3%,±0.2,"1,102,774","±3,036",21.7%,±0.1,"181,764","±1,163",20.6%,±0.1,"1,380,140","±3,789",20.1%,±0.1,"4,521,104","±7,341",15.7%,±0.1,"446,394","±2,026",13.8%,±0.1,"154,855",±860,24.1%,±0.1,"1,637,327","±4,067",19.1%,±0.1,"1,465,036","±3,731",19.2%,±0.1,"438,831","±1,886",24.4%,±0.1,"1,234,894","±2,789",21.0%,±0.1,"119,370","±1,107",20.7%,±0.2,"831,914","±2,531",25.1%,±0.1
65 years and over,"844,427",±748,16.9%,±0.1,"90,188",±339,12.3%,±0.1,"1,243,859",±368,17.6%,±0.1,"505,361",±759,16.8%,±0.1,"5,669,879",±597,14.4%,±0.1,"819,254",±541,14.3%,±0.1,"620,179",±236,17.2%,±0.1,"186,375",±27,19.0%,±0.1,"83,199",±71,12.2%,±0.1,"4,346,965","±1,020",20.4%,±0.1,"1,479,832","±1,113",13.9%,±0.1,"268,789",±143,18.5%,±0.1,"287,098",±545,15.8%,±0.1,"2,012,735",±698,15.7%,±0.1,"1,057,547",±917,15.7%,±0.1,"540,542",±642,17.0%,±0.1,"464,028",±692,15.8%,±0.1,"734,851",±874,16.4%,±0.1,"722,446",±707,15.5%,±0.1,"280,821",±297,20.7%,±0.1,"949,890",±433,15.4%,±0.1,"1,156,031",±379,16.5%,±0.1,"1,733,056",±563,17.2%,±0.1,"901,517",±474,15.9%,±0.1,"472,931",±753,15.9%,±0.1,"1,033,836",±724,16.8%,±0.1,"202,454",±463,18.8%,±0.1,"305,771",±428,15.7%,±0.1,"482,407",±381,15.8%,±0.1,"250,136",±313,18.2%,±0.1,"1,494,516",±409,16.2%,±0.1,"369,541",±474,17.5%,±0.1,"3,330,159",±623,16.6%,±0.1,"1,686,235","±1,103",16.3%,±0.1,"118,198",±488,15.3%,±0.1,"2,004,802",±815,17.0%,±0.1,"615,832",±561,15.6%,±0.1,"743,125",±615,17.7%,±0.1,"2,361,790",±566,18.2%,±0.1,"188,586",±403,17.3%,±0.1,"901,497",±574,17.7%,±0.1,"146,784",±356,16.6%,±0.1,"1,118,190",±912,16.3%,±0.1,"3,620,798","±1,465",12.5%,±0.1,"358,168",±451,11.1%,±0.1,"125,131",±259,19.5%,±0.1,"1,328,600","±1,038",15.5%,±0.1,"1,177,772",±529,15.5%,±0.1,"358,875",±547,19.9%,±0.1,"997,078",±551,17.0%,±0.1,"96,540",±435,16.7%,±0.1,"703,925",*****,21.3%,*****
18 years and over,"3,875,294",±604,"3,875,294",(X),"553,217",±209,"553,217",(X),"5,464,768",±260,"5,464,768",(X),"2,300,524",±505,"2,300,524",(X),"30,462,921",±416,"30,462,921",(X),"4,460,441",±524,"4,460,441",(X),"2,860,839",±118,"2,860,839",(X),"774,247",±52,"774,247",(X),"558,132",±79,"558,132",(X),"17,078,449",±489,"17,078,449",(X),"8,093,418",±839,"8,093,418",(X),"1,142,478",±52,"1,142,478",(X),"1,352,787",±350,"1,352,787",(X),"9,934,462",±742,"9,934,462",(X),"5,159,253",±473,"5,159,253",(X),"2,436,915",±475,"2,436,915",(X),"2,217,948",±515,"2,217,948",(X),"3,472,232",±885,"3,472,232",(X),"3,556,222",±345,"3,556,222",(X),"1,102,461",±157,"1,102,461",(X),"4,775,396",±187,"4,775,396",(X),"5,602,128",±260,"5,602,128",(X),"7,873,656",±334,"7,873,656",(X),"4,346,903",±266,"4,346,903",(X),"2,260,969",±483,"2,260,969",(X),"4,749,159",±709,"4,749,159",(X),"845,163",±305,"845,163",(X),"1,465,570",±353,"1,465,570",(X),"2,365,208",±358,"2,365,208",(X),"1,111,560",±168,"1,111,560",(X),"7,193,582",±364,"7,193,582",(X),"1,624,040",±405,"1,624,040",(X),"15,897,349",±438,"15,897,349",(X),"8,064,707",±662,"8,064,707",(X),"588,886",±314,"588,886",(X),"9,139,934",±485,"9,139,934",(X),"2,987,066",±431,"2,987,066",(X),"3,333,691",±359,"3,333,691",(X),"10,266,168",±274,"10,266,168",(X),"879,286",±86,"879,286",(X),"3,969,100",±408,"3,969,100",(X),"663,087",±403,"663,087",(X),"5,325,254",±694,"5,325,254",(X),"21,416,405",±959,"21,416,405",(X),"2,285,307",±310,"2,285,307",(X),"522,748",±136,"522,748",(X),"6,689,727",±906,"6,689,727",(X),"5,936,904",±337,"5,936,904",(X),"1,434,554",±516,"1,434,554",(X),"4,578,717",±215,"4,578,717",(X),"442,174",±282,"442,174",(X),"2,713,997",*****,"2,713,997",(X)
Male,"1,855,656",±790,47.9%,±0.1,"290,943",±322,52.6%,±0.1,"2,709,492",±390,49.6%,±0.1,"1,120,875",±726,48.7%,±0.1,"15,109,534",±682,49.6%,±0.1,"2,248,684",±774,50.4%,±0.1,"1,387,946",±234,48.5%,±0.1,"371,708",±65,48.0%,±0.1,"262,217",±83,47.0%,±0.1,"8,311,172",±822,48.7%,±0.1,"3,898,631","±1,201",48.2%,±0.1,"571,772",±112,50.0%,±0.1,"677,402",±592,50.1%,±0.1,"4,856,976","±1,032",48.9%,±0.1,"2,528,944",±772,49.0%,±0.1,"1,210,444",±795,49.7%,±0.1,"1,101,605",±688,49.7%,±0.1,"1,699,092","±1,147",48.9%,±0.1,"1,721,433",±751,48.4%,±0.1,"537,298",±291,48.7%,±0.1,"2,293,634",±376,48.0%,±0.1,"2,701,656",±399,48.2%,±0.1,"3,860,559",±560,49.0%,±0.1,"2,162,324",±542,49.7%,±0.1,"1,083,380",±901,47.9%,±0.1,"2,314,221",±943,48.7%,±0.1,"425,570",±467,50.4%,±0.1,"728,846",±529,49.7%,±0.1,"1,186,819",±459,50.2%,±0.1,"550,345",±367,49.5%,±0.1,"3,495,699",±425,48.6%,±0.1,"801,085",±527,49.3%,±0.1,"7,662,421",±797,48.2%,±0.1,"3,891,027",±919,48.2%,±0.1,"302,450",±513,51.4%,±0.1,"4,453,915",±898,48.7%,±0.1,"1,473,458",±630,49.3%,±0.1,"1,647,993",±597,49.4%,±0.1,"5,008,302",±655,48.8%,±0.1,"425,349",±231,48.4%,±0.1,"1,907,422",±773,48.1%,±0.1,"334,819",±549,50.5%,±0.1,"2,577,501","±1,043",48.4%,±0.1,"10,595,112","±1,318",49.5%,±0.1,"1,147,709",±494,50.2%,±0.1,"256,726",±287,49.1%,±0.1,"3,274,786","±1,189",49.0%,±0.1,"2,971,080",±499,50.0%,±0.1,"707,968",±596,49.4%,±0.1,"2,275,271",±594,49.7%,±0.1,"225,900",±518,51.1%,±0.1,"1,267,228",*****,46.7%,*****
Female,"2,019,638",±759,52.1%,±0.1,"262,274",±349,47.4%,±0.1,"2,755,276",±293,50.4%,±0.1,"1,179,649",±653,51.3%,±0.1,"15,353,387",±530,50.4%,±0.1,"2,211,757",±730,49.6%,±0.1,"1,472,893",±191,51.5%,±0.1,"402,539",±49,52.0%,±0.1,"295,915",±24,53.0%,±0.1,"8,767,277",±750,51.3%,±0.1,"4,194,787","±1,166",51.8%,±0.1,"570,706",±103,50.0%,±0.1,"675,385",±465,49.9%,±0.1,"5,077,486",±749,51.1%,±0.1,"2,630,309",±764,51.0%,±0.1,"1,226,471",±712,50.3%,±0.1,"1,116,343",±695,50.3%,±0.1,"1,773,140","±1,058",51.1%,±0.1,"1,834,789",±692,51.6%,±0.1,"565,163",±282,51.3%,±0.1,"2,481,762",±342,52.0%,±0.1,"2,900,472",±418,51.8%,±0.1,"4,013,097",±538,51.0%,±0.1,"2,184,579",±526,50.3%,±0.1,"1,177,589",±837,52.1%,±0.1,"2,434,938",±931,51.3%,±0.1,"419,593",±387,49.6%,±0.1,"736,724",±546,50.3%,±0.1,"1,178,389",±355,49.8%,±0.1,"561,215",±340,50.5%,±0.1,"3,697,883",±269,51.4%,±0.1,"822,955",±544,50.7%,±0.1,"8,234,928",±600,51.8%,±0.1,"4,173,680",±704,51.8%,±0.1,"286,436",±387,48.6%,±0.1,"4,686,019",±839,51.3%,±0.1,"1,513,608",±488,50.7%,±0.1,"1,685,698",±530,50.6%,±0.1,"5,257,866",±620,51.2%,±0.1,"453,937",±198,51.6%,±0.1,"2,061,678",±625,51.9%,±0.1,"328,268",±419,49.5%,±0.1,"2,747,753","±1,034",51.6%,±0.1,"10,821,293","±1,235",50.5%,±0.1,"1,137,598",±411,49.8%,±0.1,"266,022",±271,50.9%,±0.1,"3,414,941","±1,117",51.0%,±0.1,"2,965,824",±522,50.0%,±0.1,"726,586",±582,50.6%,±0.1,"2,303,446",±633,50.3%,±0.1,"216,274",±514,48.9%,±0.1,"1,446,769",*****,53.3%,*****
Sex ratio (males per 100 females),91.9,±0.1,(X),(X),110.9,±0.3,(X),(X),98.3,±0.1,(X),(X),95.0,±0.1,(X),(X),98.4,±0.1,(X),(X),101.7,±0.1,(X),(X),94.2,±0.1,(X),(X),92.3,±0.1,(X),(X),88.6,±0.1,(X),(X),94.8,±0.1,(X),(X),92.9,±0.1,(X),(X),100.2,±0.1,(X),(X),100.3,±0.1,(X),(X),95.7,±0.1,(X),(X),96.1,±0.1,(X),(X),98.7,±0.1,(X),(X),98.7,±0.1,(X),(X),95.8,±0.1,(X),(X),93.8,±0.1,(X),(X),95.1,±0.1,(X),(X),92.4,±0.1,(X),(X),93.1,±0.1,(X),(X),96.2,±0.1,(X),(X),99.0,±0.1,(X),(X),92.0,±0.1,(X),(X),95.0,±0.1,(X),(X),101.4,±0.2,(X),(X),98.9,±0.1,(X),(X),100.7,±0.1,(X),(X),98.1,±0.1,(X),(X),94.5,±0.1,(X),(X),97.3,±0.1,(X),(X),93.0,±0.1,(X),(X),93.2,±0.1,(X),(X),105.6,±0.3,(X),(X),95.0,±0.1,(X),(X),97.3,±0.1,(X),(X),97.8,±0.1,(X),(X),95.3,±0.1,(X),(X),93.7,±0.1,(X),(X),92.5,±0.1,(X),(X),102.0,±0.3,(X),(X),93.8,±0.1,(X),(X),97.9,±0.1,(X),(X),100.9,±0.1,(X),(X),96.5,±0.2,(X),(X),95.9,±0.1,(X),(X),100.2,±0.1,(X),(X),97.4,±0.1,(X),(X),98.8,±0.1,(X),(X),104.5,±0.5,(X),(X),87.6,*****,(X),(X)
65 years and over,"844,427",±748,"844,427",(X),"90,188",±339,"90,188",(X),"1,243,859",±368,"1,243,859",(X),"505,361",±759,"505,361",(X),"5,669,879",±597,"5,669,879",(X),"819,254",±541,"819,254",(X),"620,179",±236,"620,179",(X),"186,375",±27,"186,375",(X),"83,199",±71,"83,199",(X),"4,346,965","±1,020","4,346,965",(X),"1,479,832","±1,113","1,479,832",(X),"268,789",±143,"268,789",(X),"287,098",±545,"287,098",(X),"2,012,735",±698,"2,012,735",(X),"1,057,547",±917,"1,057,547",(X),"540,542",±642,"540,542",(X),"464,028",±692,"464,028",(X),"734,851",±874,"734,851",(X),"722,446",±707,"722,446",(X),"280,821",±297,"280,821",(X),"949,890",±433,"949,890",(X),"1,156,031",±379,"1,156,031",(X),"1,733,056",±563,"1,733,056",(X),"901,517",±474,"901,517",(X),"472,931",±753,"472,931",(X),"1,033,836",±724,"1,033,836",(X),"202,454",±463,"202,454",(X),"305,771",±428,"305,771",(X),"482,407",±381,"482,407",(X),"250,136",±313,"250,136",(X),"1,494,516",±409,"1,494,516",(X),"369,541",±474,"369,541",(X),"3,330,159",±623,"3,330,159",(X),"1,686,235","±1,103","1,686,235",(X),"118,198",±488,"118,198",(X),"2,004,802",±815,"2,004,802",(X),"615,832",±561,"615,832",(X),"743,125",±615,"743,125",(X),"2,361,790",±566,"2,361,790",(X),"188,586",±403,"188,586",(X),"901,497",±574,"901,497",(X),"146,784",±356,"146,784",(X),"1,118,190",±912,"1,118,190",(X),"3,620,798","±1,465","3,620,798",(X),"358,168",±451,"358,168",(X),"125,131",±259,"125,131",(X),"1,328,600","±1,038","1,328,600",(X),"1,177,772",±529,"1,177,772",(X),"358,875",±547,"358,875",(X),"997,078",±551,"997,078",(X),"96,540",±435,"96,540",(X),"703,925",*****,"703,925",(X)
Male,"372,139",±624,44.1%,±0.1,"45,027",±235,49.9%,±0.2,"576,938",±219,46.4%,±0.1,"226,725",±424,44.9%,±0.1,"2,549,526",±424,45.0%,±0.1,"379,264",±394,46.3%,±0.1,"273,903",±175,44.2%,±0.1,"84,006",±12,45.1%,±0.1,"34,518",±50,41.5%,±0.1,"1,976,902",±666,45.5%,±0.1,"650,976",±879,44.0%,±0.1,"123,186",±103,45.8%,±0.1,"136,928",±343,47.7%,±0.1,"890,219",±508,44.2%,±0.1,"472,493",±603,44.7%,±0.1,"245,458",±409,45.4%,±0.1,"210,512",±431,45.4%,±0.1,"328,731",±598,44.7%,±0.1,"320,459",±555,44.4%,±0.1,"129,191",±212,46.0%,±0.1,"415,044",±326,43.7%,±0.1,"507,819",±286,43.9%,±0.1,"784,751",±416,45.3%,±0.1,"414,507",±343,46.0%,±0.1,"208,362",±519,44.1%,±0.1,"461,558",±536,44.6%,±0.1,"97,901",±329,48.4%,±0.1,"139,059",±293,45.5%,±0.1,"228,939",±271,47.5%,±0.1,"115,777",±289,46.3%,±0.1,"653,101",±284,43.7%,±0.1,"170,198",±351,46.1%,±0.1,"1,451,787",±420,43.6%,±0.1,"746,168",±695,44.3%,±0.1,"54,879",±206,46.4%,±0.2,"891,567",±614,44.5%,±0.1,"277,310",±418,45.0%,±0.1,"343,287",±398,46.2%,±0.1,"1,047,887",±409,44.4%,±0.1,"82,969",±240,44.0%,±0.1,"404,922",±434,44.9%,±0.1,"68,936",±216,47.0%,±0.1,"499,601",±631,44.7%,±0.1,"1,633,318","±1,105",45.1%,±0.1,"168,310",±281,47.0%,±0.1,"58,154",±173,46.5%,±0.1,"594,392",±695,44.7%,±0.1,"542,528",±376,46.1%,±0.1,"164,810",±411,45.9%,±0.1,"460,509",±382,46.2%,±0.1,"46,969",±297,48.7%,±0.2,"305,458",*****,43.4%,*****
Female,"472,288",±434,55.9%,±0.1,"45,161",±247,50.1%,±0.2,"666,921",±244,53.6%,±0.1,"278,636",±510,55.1%,±0.1,"3,120,353",±372,55.0%,±0.1,"439,990",±442,53.7%,±0.1,"346,276",±193,55.8%,±0.1,"102,369",±26,54.9%,±0.1,"48,681",±48,58.5%,±0.1,"2,370,063",±631,54.5%,±0.1,"828,856",±783,56.0%,±0.1,"145,603",±85,54.2%,±0.1,"150,170",±421,52.3%,±0.1,"1,122,516",±498,55.8%,±0.1,"585,054",±610,55.3%,±0.1,"295,084",±487,54.6%,±0.1,"253,516",±505,54.6%,±0.1,"406,120",±669,55.3%,±0.1,"401,987",±551,55.6%,±0.1,"151,630",±236,54.0%,±0.1,"534,846",±317,56.3%,±0.1,"648,212",±296,56.1%,±0.1,"948,305",±336,54.7%,±0.1,"487,010",±392,54.0%,±0.1,"264,569",±486,55.9%,±0.1,"572,278",±567,55.4%,±0.1,"104,553",±279,51.6%,±0.1,"166,712",±334,54.5%,±0.1,"253,468",±223,52.5%,±0.1,"134,359",±246,53.7%,±0.1,"841,415",±312,56.3%,±0.1,"199,343",±330,53.9%,±0.1,"1,878,372",±484,56.4%,±0.1,"940,067",±729,55.7%,±0.1,"63,319",±425,53.6%,±0.2,"1,113,235",±668,55.5%,±0.1,"338,522",±388,55.0%,±0.1,"399,838",±460,53.8%,±0.1,"1,313,903",±461,55.6%,±0.1,"105,617",±258,56.0%,±0.1,"496,575",±395,55.1%,±0.1,"77,848",±291,53.0%,±0.1,"618,589",±628,55.3%,±0.1,"1,987,480","±1,072",54.9%,±0.1,"189,858",±397,53.0%,±0.1,"66,977",±202,53.5%,±0.1,"734,208",±724,55.3%,±0.1,"635,244",±349,53.9%,±0.1,"194,065",±414,54.1%,±0.1,"536,569",±419,53.8%,±0.1,"49,571",±333,51.3%,±0.2,"398,467",*****,56.6%,*****
Sex ratio (males per 100 females),78.8,±0.2,(X),(X),99.7,±0.8,(X),(X),86.5,±0.1,(X),(X),81.4,±0.2,(X),(X),81.7,±0.1,(X),(X),86.2,±0.1,(X),(X),79.1,±0.1,(X),(X),82.1,±0.1,(X),(X),70.9,±0.1,(X),(X),83.4,±0.1,(X),(X),78.5,±0.1,(X),(X),84.6,±0.1,(X),(X),91.2,±0.3,(X),(X),79.3,±0.1,(X),(X),80.8,±0.1,(X),(X),83.2,±0.2,(X),(X),83.0,±0.2,(X),(X),80.9,±0.2,(X),(X),79.7,±0.2,(X),(X),85.2,±0.2,(X),(X),77.6,±0.1,(X),(X),78.3,±0.1,(X),(X),82.8,±0.1,(X),(X),85.1,±0.1,(X),(X),78.8,±0.2,(X),(X),80.7,±0.1,(X),(X),93.6,±0.4,(X),(X),83.4,±0.3,(X),(X),90.3,±0.1,(X),(X),86.2,±0.3,(X),(X),77.6,±0.1,(X),(X),85.4,±0.2,(X),(X),77.3,±0.1,(X),(X),79.4,±0.1,(X),(X),86.7,±0.6,(X),(X),80.1,±0.1,(X),(X),81.9,±0.2,(X),(X),85.9,±0.1,(X),(X),79.8,±0.1,(X),(X),78.6,±0.2,(X),(X),81.5,±0.1,(X),(X),88.6,±0.4,(X),(X),80.8,±0.1,(X),(X),82.2,±0.1,(X),(X),88.7,±0.3,(X),(X),86.8,±0.4,(X),(X),81.0,±0.1,(X),(X),85.4,±0.1,(X),(X),84.9,±0.3,(X),(X),85.8,±0.1,(X),(X),94.8,±0.9,(X),(X),76.7,*****,(X),(X)
RACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,997,675",*****,"4,997,675",(X),"735,951",*****,"735,951",(X),"7,079,203",*****,"7,079,203",(X),"3,006,309",*****,"3,006,309",(X),"39,455,353",*****,"39,455,353",(X),"5,723,176",*****,"5,723,176",(X),"3,605,330",*****,"3,605,330",(X),"981,892",*****,"981,892",(X),"683,154",*****,"683,154",(X),"21,339,762",*****,"21,339,762",(X),"10,625,615",*****,"10,625,615",(X),"1,453,498",*****,"1,453,498",(X),"1,811,617",*****,"1,811,617",(X),"12,821,813",*****,"12,821,813",(X),"6,751,340",*****,"6,751,340",(X),"3,179,090",*****,"3,179,090",(X),"2,932,099",*****,"2,932,099",(X),"4,494,141",*****,"4,494,141",(X),"4,657,305",*****,"4,657,305",(X),"1,357,046",*****,"1,357,046",(X),"6,148,545",*****,"6,148,545",(X),"6,991,852",*****,"6,991,852",(X),"10,062,512",*****,"10,062,512",(X),"5,670,472",*****,"5,670,472",(X),"2,967,023",*****,"2,967,023",(X),"6,141,534",*****,"6,141,534",(X),"1,077,978",*****,"1,077,978",(X),"1,951,480",*****,"1,951,480",(X),"3,059,238",*****,"3,059,238",(X),"1,372,175",*****,"1,372,175",(X),"9,234,024",*****,"9,234,024",(X),"2,109,366",*****,"2,109,366",(X),"20,114,745",*****,"20,114,745",(X),"10,367,022",*****,"10,367,022",(X),"773,344",*****,"773,344",(X),"11,769,923",*****,"11,769,923",(X),"3,948,136",*****,"3,948,136",(X),"4,207,177",*****,"4,207,177",(X),"12,970,650",*****,"12,970,650",(X),"1,091,949",*****,"1,091,949",(X),"5,078,903",*****,"5,078,903",(X),"881,785",*****,"881,785",(X),"6,859,497",*****,"6,859,497",(X),"28,862,581",*****,"28,862,581",(X),"3,231,370",*****,"3,231,370",(X),"641,637",*****,"641,637",(X),"8,582,479",*****,"8,582,479",(X),"7,617,364",*****,"7,617,364",(X),"1,801,049",*****,"1,801,049",(X),"5,871,661",*****,"5,871,661",(X),"576,641",*****,"576,641",(X),"3,311,274",*****,"3,311,274",(X)
One race,"4,842,360","±4,494",96.9%,±0.1,"662,005","±2,800",90.0%,±0.4,"6,344,182","±11,378",89.6%,±0.2,"2,847,206","±4,957",94.7%,±0.2,"35,220,136","±31,554",89.3%,±0.1,"5,245,106","±8,048",91.6%,±0.1,"3,378,063","±5,513",93.7%,±0.2,"932,380","±2,358",95.0%,±0.2,"644,297","±2,141",94.3%,±0.3,"19,338,037","±24,237",90.6%,±0.1,"10,110,712","±9,399",95.2%,±0.1,"1,098,484","±5,337",75.6%,±0.4,"1,708,307","±3,506",94.3%,±0.2,"12,072,713","±11,335",94.2%,±0.1,"6,463,387","±6,796",95.7%,±0.1,"3,055,325","±3,571",96.1%,±0.1,"2,752,643","±4,826",93.9%,±0.2,"4,335,263","±3,819",96.5%,±0.1,"4,479,664","±5,064",96.2%,±0.1,"1,310,145","±2,172",96.5%,±0.2,"5,816,770","±7,191",94.6%,±0.1,"6,540,172","±7,956",93.5%,±0.1,"9,599,143","±8,006",95.4%,±0.1,"5,411,590","±4,934",95.4%,±0.1,"2,897,034","±2,938",97.6%,±0.1,"5,862,006","±6,148",95.4%,±0.1,"1,029,619","±1,994",95.5%,±0.2,"1,851,266","±3,426",94.9%,±0.2,"2,743,982","±7,097",89.7%,±0.2,"1,321,285","±2,238",96.3%,±0.2,"8,616,754","±9,635",93.3%,±0.1,"1,847,902","±7,215",87.6%,±0.3,"18,914,032","±14,299",94.0%,±0.1,"9,866,564","±8,917",95.2%,±0.1,"743,545","±1,837",96.1%,±0.2,"11,267,531","±7,690",95.7%,±0.1,"3,554,749","±5,272",90.0%,±0.1,"3,881,565","±6,067",92.3%,±0.1,"12,415,449","±8,166",95.7%,±0.1,"1,019,981","±3,382",93.4%,±0.3,"4,877,129","±5,717",96.0%,±0.1,"843,266","±1,887",95.6%,±0.2,"6,597,904","±5,383",96.2%,±0.1,"25,710,496","±24,922",89.1%,±0.1,"3,049,012","±5,120",94.4%,±0.2,"620,015","±1,148",96.6%,±0.2,"8,079,139","±8,238",94.1%,±0.1,"6,961,770","±8,153",91.4%,±0.1,"1,745,586","±1,968",96.9%,±0.1,"5,612,184","±4,990",95.6%,±0.1,"548,204","±1,760",95.1%,±0.3,"2,750,121","±9,702",83.1%,±0.3
