Maryland,MD,4.2,4.2,4.3,4.3,4.2,4.2,4.1,4,4,3.9,3.9,3.9,4,4,4,4.1,4.1,4,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.6,3.6,3.5,3.3,3.2,3.1,3.1,3.2,3.4,3.5,3.6,3.7,3.7,3.8,4,4.2,4.2,9.5,9.5,8.6,8.1,7.2,6.8,6.2,6.1,6.3,5.9,5.7,5.7,5.7,5.7,6.1,6.1,6.2,5.8,5.7,5.4,5.4,5.4,5,4.6,4.2,4,4,3.9,4.3,4,4.5,4.3,4
Massachusetts,MA,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3,3,3,3,3,3,3,3,2.9,2.9,17.1,15.5,14.4,12.7,10.6,9.9,8.6,8.1,7.7,7.1,6.7,6.4,6.3,5.9,6,5.7,5.5,5.1,5,4.8,4.6,4.8,4.7,4.3,4.1,3.9,3.7,3.5,3.6,3.4,3.5,3.4,3.3
Michigan,MI,5,5,5.1,5.1,5.1,5,4.8,4.7,4.5,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.7,4.6,4.5,4.4,4.3,4.1,4.1,4,4,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.2,4.2,4.2,4.1,4,3.9,3.8,3.8,3.8,3.8,22.7,19.2,14.6,12.6,9.9,8.7,7.5,7.1,7,6.4,6.3,6.2,6.2,6.2,6.3,6.2,6,5.7,5.4,5.2,5.1,4.9,4.7,4.4,4.3,4.3,4.3,4.2,4.1,4.1,4.2,4.3,4.3
Minnesota,MN,3.9,3.9,4,4,4,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3.1,3.2,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.4,3.5,3.6,3.6,3.7,3.8,3.9,4,9,10.8,8.7,7.9,6.9,6.2,5.5,5,4.6,4.2,3.9,3.7,3.5,3.4,3.4,3.3,3.3,3.2,3.1,3.1,3,2.9,2.7,2.5,2.2,2,1.8,1.8,1.9,2,2.1,2.3,2.5
Mississippi,MS,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.1,5.2,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.7,5.8,15.4,11,9.2,8.2,7.4,7.1,6.8,6.8,6.7,6.6,6.5,6.4,6.2,6,5.8,5.6,5.3,5,4.7,4.7,4.7,4.6,4.5,4.2,4.1,3.9,3.8,3.6,3.6,3.6,3.8,3.9,4
Missouri,MO,4.7,4.7,4.7,4.6,4.5,4.3,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.1,3,3,3,3,3.1,3.1,3.2,3.2,3.2,3.1,3,2.9,2.9,2.9,3,3.1,3.2,3.3,3.3,3.3,3.3,3.5,11.2,9.2,7.7,7,6.4,6,5.5,5.3,5.1,5,4.9,4.8,4.7,4.5,4.4,4.3,4.1,4,4,3.9,3.9,3.8,3.7,3.6,3.4,3.1,2.8,2.5,2.5,2.4,2.6,2.7,2.8
Montana,MT,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.6,12.2,9.1,7.4,6.5,5.4,5,4.5,4.2,4,3.8,3.7,3.6,3.6,3.6,3.6,3.5,3.4,3.2,3,2.9,2.9,2.7,2.6,2.3,2.3,2.4,2.6,2.7,2.8,2.9,3,2.9,2.8
Nebraska,NE,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.9,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.8,2.9,2.9,3,3,3,3,3,3,3,2.9,2.9,3,3.1,3.1,3.2,3.2,3.1,3.1,3,3,4.3,8.2,6.3,5.1,4.4,3.7,3.3,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.2,2.1,2,1.9,1.9,1.9,2,2.1,2.2,2.4,2.5,2.6
Nevada,NV,5.7,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.8,4.7,4.5,4.3,4.2,4,4,4.1,4.2,4.3,4.5,4.5,4.5,4.4,4.2,3.9,3.7,3.7,3.7,3.8,3.9,3.9,3.8,3.8,4,8,28.5,23.4,18.5,16.8,14.7,13.6,12.1,11.2,10.8,10.2,9.8,9.2,8.6,7.8,7.2,6.6,6,5.6,5.4,5.3,5.3,5.2,5.1,5,5,4.9,4.7,4.4,4.4,4.4,4.6,4.9,5.2
New Hampshire,NH,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.6,16.2,11.8,9.7,8.3,6.8,6.1,5.2,4.8,4.5,4.2,4,3.9,3.8,3.7,3.6,3.5,3.4,3.2,3.1,3,3,2.9,2.7,2.4,2.3,2.1,2,2,2,2.2,2.4,2.6,2.7
New Jersey,NJ,5,5,4.9,4.9,4.8,4.7,4.6,4.5,4.5,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4.2,4.1,4,4,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.6,3.5,3.5,3.3,15.5,15.8,14.5,14.3,12.8,8.3,7.5,7.5,7.4,7.3,7.2,6.9,7,6.6,7.1,6.6,6.5,5.8,5.5,5.1,5.1,5.1,4.6,4.2,4.1,3.9,3.9,3.7,4,3.3,3.4,3.4,3.4
New Mexico,NM,6.9,6.9,6.9,6.9,6.9,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6,5.8,5.7,5.6,5.5,5.4,5.2,5.1,5,4.9,4.8,4.7,4.7,4.7,4.8,4.9,5,5.1,5.2,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.8,4.9,5.1,5.2,5.4,6.1,9.5,9.8,9.5,9.6,9.3,8.8,8.4,8,7.9,7.4,7.3,7.2,7.3,7.2,7.3,7,6.8,6.2,6.1,6,5.9,5.9,5.6,5.3,5.3,5.1,4.9,4.5,4.4,4.2,4.3,4.1,3.9
